epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5389,2.06033,10.8448,0.00453,0.00019,0.06977,3e-05,1e-05,1.99362,12.6235,0.00449,0.0003,0.0003,0.0003
2,48.1253,1.8381,9.81775,0.0039,0.00038,0.13953,5e-05,1e-05,1.94111,11.9974,0.00413,0.000607724,0.000607724,0.000607724
3,57.1254,1.87691,7.87749,0.00436,0.00063,0.23256,0.00099,0.00061,2.05401,12.0557,0.00457,0.000902776,0.000902776,0.000902776
4,65.2793,1.88629,6.82584,0.0041,0.00182,0.67442,0.06252,0.02814,2.12571,11.6313,0.00497,0.00118516,0.00118516,0.00118516
5,74.2913,1.94604,6.04227,0.00428,0.00214,0.7907,0.55108,0.25257,2.07717,10.318,0.00507,0.00145486,0.00145486,0.00145486
6,81.8526,1.9917,5.77545,0.00439,0.74422,0.46512,0.60041,0.31575,1.91227,8.5131,0.00435,0.0017119,0.0017119,0.0017119
7,90.7437,1.95698,5.05824,0.00405,0.79965,0.53488,0.67245,0.38477,2.24056,5.99706,0.00532,0.0017624,0.0017624,0.0017624
8,97.7865,1.94386,4.26887,0.0045,0.71453,0.5814,0.71318,0.38165,2.25971,3.93851,0.00531,0.0017228,0.0017228,0.0017228
9,107.46,2.05593,4.14417,0.00444,0.70592,0.74419,0.7677,0.37025,2.35273,2.76527,0.00559,0.0016832,0.0016832,0.0016832
10,115.829,1.85166,4.39529,0.00453,0.88169,0.67442,0.78593,0.39975,2.39186,2.55044,0.00573,0.0016436,0.0016436,0.0016436
11,124.28,2.03655,3.48064,0.00422,0.66535,0.83721,0.78186,0.34253,2.0916,2.43365,0.005,0.001604,0.001604,0.001604
12,132.821,1.86358,2.96791,0.00434,0.77583,0.67442,0.77218,0.41783,2.06518,1.90475,0.00482,0.0015644,0.0015644,0.0015644
13,141.864,1.82309,2.6566,0.00426,0.64696,0.63941,0.66127,0.33921,2.00938,1.437,0.00486,0.0015248,0.0015248,0.0015248
14,150.894,1.89577,2.50052,0.004,0.81104,0.69875,0.78752,0.45376,2.02427,1.17941,0.0049,0.0014852,0.0014852,0.0014852
15,158.839,1.77739,2.14099,0.00439,0.77433,0.81395,0.80476,0.43167,2.19355,1.34889,0.00527,0.0014456,0.0014456,0.0014456
16,168.031,1.8516,2.27403,0.00436,0.67476,0.77205,0.7388,0.35914,2.22168,1.31583,0.00534,0.001406,0.001406,0.001406
17,175.779,1.89131,1.97742,0.0044,0.73,0.81744,0.83241,0.44037,2.19836,1.18435,0.00506,0.0013664,0.0013664,0.0013664
18,185.357,1.88759,1.88903,0.00435,0.84904,0.74419,0.83012,0.4382,2.07056,1.17492,0.00493,0.0013268,0.0013268,0.0013268
19,193.237,1.74676,1.70599,0.00383,0.69228,0.72093,0.77137,0.42345,2.06841,1.2809,0.00507,0.0012872,0.0012872,0.0012872
20,202.067,1.84055,1.69296,0.00432,0.65743,0.81395,0.77165,0.4075,2.0704,1.23748,0.00491,0.0012476,0.0012476,0.0012476
21,211.186,1.8361,1.62312,0.00391,0.73677,0.69767,0.76159,0.3941,2.07764,1.25331,0.00485,0.001208,0.001208,0.001208
22,219.712,1.76745,1.60042,0.00397,0.80053,0.76744,0.8348,0.40766,2.22347,1.08003,0.00543,0.0011684,0.0011684,0.0011684
23,229.184,1.93153,1.58996,0.00433,0.82536,0.69767,0.81598,0.45648,2.17621,0.96957,0.00492,0.0011288,0.0011288,0.0011288
24,236.786,1.83331,1.47489,0.00385,0.72078,0.69767,0.78446,0.38593,2.3974,1.10072,0.00551,0.0010892,0.0010892,0.0010892
25,246.832,1.77846,1.35781,0.00402,0.75245,0.76744,0.79706,0.43382,2.15165,1.03603,0.00506,0.0010496,0.0010496,0.0010496
26,256.4,1.84612,1.35241,0.00446,0.82374,0.7609,0.83704,0.42899,2.21331,1.07735,0.00516,0.00101,0.00101,0.00101
27,264.069,1.83865,1.36714,0.00416,0.81232,0.81395,0.80312,0.42704,2.27638,1.14047,0.00557,0.0009704,0.0009704,0.0009704
28,273.016,1.73614,1.31557,0.00391,0.78043,0.74395,0.7823,0.46415,2.07867,1.1521,0.0048,0.0009308,0.0009308,0.0009308
29,281.275,1.79094,1.30987,0.00347,0.77387,0.71637,0.80295,0.45208,2.18552,1.19074,0.00519,0.0008912,0.0008912,0.0008912
30,290.636,1.69006,1.142,0.00351,0.85696,0.69669,0.81753,0.4646,2.11497,1.02472,0.00516,0.0008516,0.0008516,0.0008516
31,298.964,1.82305,1.25014,0.00376,0.81161,0.76744,0.82091,0.41831,2.16515,0.97394,0.00532,0.000812,0.000812,0.000812
32,308.512,1.74821,1.08462,0.00389,0.79663,0.81997,0.84627,0.45291,2.11792,1.0667,0.005,0.0007724,0.0007724,0.0007724
33,318.369,1.85091,1.08777,0.00423,0.79535,0.7907,0.79734,0.395,2.16497,1.11002,0.0054,0.0007328,0.0007328,0.0007328
34,326.59,1.71828,1.01775,0.00392,0.77875,0.81865,0.80998,0.41487,2.20842,1.05686,0.00529,0.0006932,0.0006932,0.0006932
35,335.773,1.65765,1.00733,0.00338,0.90911,0.69788,0.84795,0.47003,2.23659,0.9801,0.00538,0.0006536,0.0006536,0.0006536
36,343.568,1.68724,0.957,0.00374,0.83072,0.68491,0.8363,0.46983,2.04957,0.96794,0.00474,0.000614,0.000614,0.000614
37,352.71,1.75178,1.06483,0.00369,0.72984,0.81395,0.85394,0.45937,2.05349,0.93978,0.00467,0.0005744,0.0005744,0.0005744
38,360.672,1.65429,0.93197,0.00378,0.73559,0.84114,0.84878,0.4917,2.07762,0.91246,0.00474,0.0005348,0.0005348,0.0005348
39,369.688,1.6832,0.95354,0.00338,0.7372,0.86047,0.8173,0.48225,2.14863,0.9626,0.00496,0.0004952,0.0004952,0.0004952
40,379.115,1.69342,0.91683,0.00359,0.74109,0.83721,0.84148,0.47549,2.13136,1.04821,0.00487,0.0004556,0.0004556,0.0004556
41,391.057,1.65438,1.02158,0.00416,0.74654,0.86047,0.84316,0.46069,2.12306,1.06019,0.00487,0.000416,0.000416,0.000416
42,400.282,1.65571,1.12242,0.00395,0.77361,0.86047,0.81494,0.44768,2.17726,1.0625,0.00504,0.0003764,0.0003764,0.0003764
43,408.848,1.5816,0.95344,0.0042,0.78071,0.83721,0.79731,0.44173,2.15211,1.0877,0.00501,0.0003368,0.0003368,0.0003368
44,417.555,1.57622,0.95911,0.00397,0.72046,0.89918,0.79916,0.43346,2.1102,1.07068,0.00496,0.0002972,0.0002972,0.0002972
45,426.112,1.5576,1.03774,0.00421,0.68967,0.87868,0.79982,0.46005,2.02997,1.06133,0.00478,0.0002576,0.0002576,0.0002576
46,434.638,1.53174,0.93117,0.00396,0.70308,0.88111,0.81482,0.47957,1.98585,1.03534,0.00474,0.000218,0.000218,0.000218
47,443.955,1.58967,0.93215,0.00416,0.70444,0.8869,0.81464,0.47085,1.99024,1.03563,0.00469,0.0001784,0.0001784,0.0001784
48,451.814,1.55673,0.93473,0.00376,0.72111,0.90698,0.83855,0.47479,1.97366,1.05877,0.0047,0.0001388,0.0001388,0.0001388
49,460.287,1.47943,0.8801,0.00329,0.73234,0.89093,0.83784,0.45618,1.98245,1.0745,0.00474,9.92e-05,9.92e-05,9.92e-05
50,468.228,1.52719,0.94703,0.00382,0.7469,0.88372,0.8365,0.45048,2.01521,1.08263,0.00478,5.96e-05,5.96e-05,5.96e-05
